Ville;adresse_full;Latitude;Longitude;participants_syndicats;source_syndicats;participants_police;participants_presse;source_presse;description_libre;lien
Douai;Douai France;50.367874;3.080602;6000;;5000;;;;https://www.lavoixdunord.fr/1285500/article/2023-01-31/direct-reforme-des-retraites-les-syndicats-esperent-une-mobilisation-encore-plus
Cambrai;Cambrai France;50.173538;3.236633;;;4000;;;;https://www.lavoixdunord.fr/1285500/article/2023-01-31/direct-reforme-des-retraites-les-syndicats-esperent-une-mobilisation-encore-plus
Arras;Arras France;50.291002;2.777535;;;4000;;;;https://www.lavoixdunord.fr/1285500/article/2023-01-31/direct-reforme-des-retraites-les-syndicats-esperent-une-mobilisation-encore-plus
Calais;Calais France;50.95129;1.858686;8000;;5000;;;;https://www.lavoixdunord.fr/1285500/article/2023-01-31/direct-reforme-des-retraites-les-syndicats-esperent-une-mobilisation-encore-plus
Boulogne-sur-Mer;Boulogne-sur-Mer France;50.725231;1.613334;8500;;5500;;;;https://www.lavoixdunord.fr/1285500/article/2023-01-31/direct-reforme-des-retraites-les-syndicats-esperent-une-mobilisation-encore-plus
Bar-le-Duc;Bar-le-Duc France;48.773605;5.158238;;;2000;;L'Est Républicain;;https://www.estrepublicain.fr/social/2023/01/31/greve-contre-la-reforme-des-retraites-en-lorraine-suivez-la-journee-de-mobilisation
Limoges;Limoges France;45.833619;1.261105;38000;intersyndicale;9500;;;;https://www.lepopulaire.fr/limoges-87000/actualites/greve-du-31-janvier-contre-la-reforme-des-retraites-suivez-la-manifestation-de-limoges-en-direct_14255101/
Vannes;Vannes France;47.658236;-2.760847;9000;;6000;;;;https://www.letelegramme.fr/morbihan/vannes/entre-6-000-et-9-000-manifestants-a-vannes-la-mobilisation-prend-de-l-ampleur-31-01-2023-13270089.php
Béziers;Béziers France;43.344233;3.215795;12000;intersyndicale;7500;;;;https://www.midilibre.fr/2023/01/31/en-direct-de-la-manifestation-contre-les-retraites-a-beziers-10963731.php
Sète;Sète France;43.4078758;3.7008219;;;3000;4000;;;https://www.midilibre.fr/2023/01/31/mobilisation-contre-la-reforme-des-retraites-suivez-en-direct-la-manifestation-a-sete-10963734.php
Saint-Brieuc;Saint-Brieuc France;48.51418;-2.765835;15000;intersyndicale;9200;;;;https://www.ouest-france.fr/economie/retraites/direct-reforme-des-retraites-greve-du-31-janvier-les-manifestations-a-saint-brieuc-guingamp-5bc3ddb2-a0b1-11ed-a11b-e98c72bb00dc
La Rochelle;La Rochelle France;46.160329;-1.151139;13500;intersyndicale;8300;;Sud Ouest;;https://www.sudouest.fr/charente-maritime/la-rochelle/reforme-des-retraites-8-300-manifestants-a-la-rochelle-selon-la-prefecture-jusqu-a-15-000-pour-les-syndicats-13890153.php
Rochefort;Rochefort France;45.936698;-0.961697;3800;intersyndicale;2900;;;;https://www.sudouest.fr/charente-maritime/saintes/reforme-des-retraites-au-moins-3-500-personnes-dans-la-rue-a-saintes-13885688.php
Epinal;Epinal France;48.172402;6.449403;;;;6000;L'Est Républlcain;;https://www.estrepublicain.fr/social/2023/01/31/greve-contre-la-reforme-des-retraites-en-lorraine-suivez-la-journee-de-mobilisation
Metz;Metz France;49.1193089;6.1757156;16000;intersyndicale;11860;;;;https://actu.fr/societe/direct-greve-du-31-janvier-contre-la-reforme-des-retraites-la-manifestation-a-nancy-et-metz_57001325.html
Le Puy-en-Velay;Le Puy-en-Velay France;45.042768;3.882936;11000;intersyndicale;5000;;;;https://www.leprogres.fr/social/2023/01/31/dans-la-loire-et-en-haute-loire-mobilisations-massives-contre-la-reforme-des-retraites
Lorient;Lorient France;47.7482524;-3.3702449;14000;intersyndicale;11000;;;;https://www.letelegramme.fr/morbihan/lorient/a-lorient-plusieurs-milliers-de-personnes-contre-la-reforme-des-retraites-31-01-2023-13269710.php
Auxerre;Auxerre France;47.798202;3.573781;;;;3500;L'Yonne;;https://www.lyonne.fr/auxerre-89000/actualites/suivez-en-direct-cette-journee-de-manifestations-contre-la-reforme-des-retraites-dans-l-yonne_14254618/
