Ville;Latitude;Longitude;participants_syndicats;source_syndicats;participants_police;participants_presse;source_presse;participants_occurrence;description_libre;lien
Cholet;47.059407;-0.879787;;;;900;Ouest France;;;https://www.ouest-france.fr/pays-de-la-loire/cholet-49300/video-reforme-des-retraites-900-manifestants-zone-de-l-ecuyere-la-mobilisation-faiblit-69936a44-052e-41b8-9c3f-b1f7d060d00d
Auxerre;47.798202;3.573781;;;;;;;;
Saint-Denis, La Réunion;-20.8906596;55.4550536;;;;;;;;
Saumur;47.260135;-0.080893;1500;intersyndicale;800;;;;;https://www.ouest-france.fr/economie/retraites/direct-reforme-des-retraites-suivez-les-manifestations-du-11-mars-a-angers-et-cholet-00a4ee18-bf55-11ed-8b0a-102ab124256a
Saint-Gaudens;43.106895;0.723763;;;;;;;;
Saint-Dizier;48.637692;4.947418;;;;;;;;
Chaumont;48.113748;5.1392559;;;500;;;;;https://jhm.fr/mobilisation-moins-dense-a-chaumont/
Epernay;49.043411;3.956242;;;;;;;;
Langres;47.86683;5.334297;;;;;;;;
Eu;50.04887;1.419597;;;;;;;;
Marmande;44.500484;0.159869;;;;;;;;
Sarlat;44.890891;1.217292;;;250;;;;;https://www.francebleu.fr/infos/economie-social/reforme-des-retraites-entre-2-500-et-3-000-manifestants-en-dordogne-ce-samedi-1862536
Vitré;48.12474599999999;-1.21543;;;;;;;;
Aix-en-Provence;43.529742;5.447427;5000;;1500;;;;;https://www.laprovence.com/article/region/83856507138090/direct-laprovence-reforme-des-retraites-plusieurs-manifestations-en-provence-perturbations-dans-les-transports-toutes-nos-infos-sur-la-mobilisation
Basse-Terre, Guadeloupe;15.9965719;-61.7317215;;;;;;;;
Fort-de-France, Martinique;14.6060576;-61.069884;;;;;;;;
Cayenne, Guyane;4.9379774;-52.3354386;;;;;;;;
Abbeville;50.105467;1.836833;;;;;;;;
