Ville;pays;adresse_full;participants_syndicats;source_syndicats;participants_police;participants_presse;source_presse;participants_occurrence;description_libre;lien
Cholet;France;Cholet France;;;;1200;Ouest-France;;;https://www.ouest-france.fr/economie/retraites/direct-reforme-des-retraites-suivez-les-manifestations-du-13-avril-dans-le-maine-et-loire-8651cd28-d90f-11ed-a8f2-3d52644ec35b
Aurillac;France;Aurillac France;1500;CGT;730;;;;;https://www.lamontagne.fr/clermont-ferrand-63000/actualites/400-000-a-600-000-manifestants-attendus-en-france-pour-cette-12e-journee-de-mobilisation-suivez-notre-direct_14293137/
Saint-Gaudens;France;Saint-Gaudens France;1078;intersyndicale;710;;Petite République;;;https://www.petiterepublique.com/2023/04/14/saint-gaudens-une-manifestation-dans-lattente-de-la-decision-du-conseil-constitutionnel/
Vendôme;France;Vendôme France;;;;;;;;
Mende;France;Mende France;800;intersyndicale;550;;Midi Libre;;;https://www.midilibre.fr/2023/04/13/mende-les-manifestants-ont-fait-du-bruit-contre-la-reforme-des-retraites-11131584.php
Carhaix;France;Carhaix France;1350;CGT;1100;;Ouest France;; Entre 1000 et 1200 manifestants sont rassemblés selon les premières estimations de la gendarmerie.;https://www.ouest-france.fr/economie/retraites/direct-reforme-des-retraites-manifestations-blocages-le-point-a-brest-quimper-jeudi-13-avril-0177b28e-d932-11ed-b175-4c5fc605e272
Epernay;France;Epernay France;;;;;;;;
Privas;France;Privas France;800;;600;;;;;https://www.francebleu.fr/infos/politique/reforme-des-retraites-quelle-mobilisation-ce-jeudi-en-drome-et-en-ardeche-6196257
Alençon;France;Alençon France;;;500;;Ouest France;;;https://www.ouest-france.fr/economie/retraites/direct-manifestation-du-13-avril-dans-lorne-les-corteges-vont-bientot-selancer-9fe94e40-d947-11ed-b175-4c5fc605e272
Saint-Lô;France;Saint-Lô France;;;;;;;;
Guingamp;France;Guingamp France;;;;1000;Ouest France;;;https://www.ouest-france.fr/economie/retraites/direct-greve-du-13-avril-des-manifestations-a-saint-brieuc-lannion-guingamp-6d2ba338-d94f-11ed-a8f2-3d52644ec35b
Coutances;France;Coutances France;;;;;;;;
Abbeville;France;Abbeville France;800;CGT;;;France Bleu;;;https://www.francebleu.fr/infos/economie-social/manifestation-contre-la-reforme-des-retraites-la-mobilisation-en-baisse-a-amiens-3380051
Châlons-en-Champagne;France;Châlons-en-Champagne France;850;intersyndicale;700;;L'Union;;;https://www.lunion.fr/id474900/article/2023-04-13/entre-700-et-850-personnes-dans-la-rue-chalons-en-champagne
Fontenay-le-Comte;France;Fontenay-le-Comte France;;;;;;;;
Argentan;France;Argentan France;;;;;;;;
Saint-Jean-de-Maurienne;France;Saint-Jean-de-Maurienne France;;;;;;;;
Bar-le-Duc;France;Bar-le-Duc France;;;650;;;;;
Beaune;France;Beaune France;170;CGT;160;;;;;https://www.bienpublic.com/social/2023/04/13/apres-trois-mois-de-mobilisation-de-nouvelles-manifestations-ce-jeudi-13-avril-en-cote-d-or-a-dijon-beaune-et-montbard#8612aed5-94ba-41c8-a41a-c7bcf442e968
Chalon-sur-Saône;France;Chalon-sur-Saône France;;;;;;;;
Cherbourg;France;Cherbourg France;8000;;3500;4100;La Presse de la Manche;;;https://actu.fr/normandie/cherbourg-en-cotentin_50129/reforme-des-retraites-greve-du-13-avril-suivez-la-mobilisation-dans-la-manche_58859842.html
Quimperlé;France;Quimperlé France;;;;;;;;
Roanne;France;Roanne France;5000;intersyndicale;1800;;;;;https://www.leprogres.fr/social/2023/04/13/reforme-des-retraites-suivez-les-manifestations-de-saint-etienne-et-roanne
Alès;France;Alès France;;;2100;;Midi Libre;;;https://www.midilibre.fr/2023/04/13/greve-du-13-avril-a-ales-la-mobilisation-ne-desemplit-pas-11130463.php
Pontivy;France;Pontivy France;1500;;1000;;;;;https://www.ouest-france.fr/economie/retraites/direct-manifestation-du-13-avril-suivez-la-journee-de-mobilisation-a-lorient-a-vannes-a-pontivy-d68ce3a0-d841-11ed-8d82-b6c0f24c6e0e
Dieppe;France;Dieppe France;;;1300;;;;;https://www.paris-normandie.fr/id405322/article/2023-04-13/direct-reforme-des-retraites-suivez-lacte-xii-de-la-mobilisation-en-normandie
Rochefort;France;Rochefort France;;;;1000;Sud Ouest;;;https://www.sudouest.fr/economie/reforme-des-retraites/direct-greve-du-13-avril-quelle-sera-la-mobilisation-suivez-les-temps-forts-de-la-contestation-14777678.php
Saint-Quentin;France;Saint-Quentin France;;;;;;;;
Dole;France;Dole France;;;;;;;;
Montargis;France;Montargis France;1000;CGT;;1000;La République du Centre;;;https://www.larep.fr/orleans-45000/actualites/reforme-des-retraites-douzieme-journee-de-mobilisation-dans-le-loiret-suivez-notre-direct_14293839/
Sens;France;Sens France;;;;;;;;
Châtellerault;France;Châtellerault France;;;;900;La Nouvelle République;;;https://www.lanouvellerepublique.fr/a-la-une/direct-retraites-suivez-la-douzieme-journee-de-mobilisation-contre-la-reforme?queryId%5Bquery1%5D=57cd2206459a452f008b4594&queryId%5Bquery2%5D=57c95b34479a452f008b459d&page=0&pageId=57da5ce0459a4552008b4567
